Name,Background,Discussion,Low Standard Conventional,High Standard Conventional,Low Standard International,High Standard International,Low Optimal Conventional,High Optimal Conventional,Low Optimal International,High Optimal International,Standard Unit,International Units,Clinical Implications Low,Clinical Implications High,Other Condtions Low,Other Condtions High,Interfering Factors Falsely Elevated,Interfering Factors Falsely Decreased,Drug Tests,Drug Causes of Decreased Levels,Drug Causes of Increased Levels
% Testosterone Bioavailable - Male,"This test measures the % of bioavailable testosterone found in the blood. Bioavailable testosterone is the amount of testosterone in the blood that is readily available for biological activity. Decreased levels of % bioavailable testosterone are associated with a number of dysfunctions including metabolic syndrome, an increased risk of cardiovascular disease, an increase in abdominal obesity, decreased libido, and erectile dysfunction. Increased levels of % bioavailable testosterone may be seen in patients that are over supplementing with supplemental testosterone or can be a sign of testosterone overproduction in the body.",,35%,65%,35%,65%,53%,65%,53%,65%,,,"Decreased % Bioavailable T Associated with: Metabolic syndrome, an increased risk of cardiovascular disease, an increase in abdominal obesity, decreased libido, and erectile dysfunction.",Increased % Bioavailable T Associated with: Supplemental testosterone /n Overproduction of endogenous testosterone ,,,,,,,
% Testosterone Free - Male,"This test measures the % of free testosterone found in the blood. Less than 2% of testosterone is typically found in the ""free"" (uncomplexed) state and the remaining 98% is bound. Ideally, 1.5 - 2.2% of the testosterone in the blood should be ""free"". Decreased levels of % free testosterone could mean too much testosterone is being bound and therefore unavailable. Increased levels of % free testosterone may be seen in patients that are over supplementing with supplemental testosterone or can be a sign of testosterone overproduction in the body.",,1.00%,2.90%,1.00%,2.90%,1.60%,2.20%,1.60%,2.20%,,,"Decreased % Free Testosterone associated with:
A decrease in % Free Testosteorne may be an indication that too much testosterone is being bound and therefore unavailable.","Increased % Free Testosterone associated with:
Supplemental testosterone
Overproduction of endogenous testosterone",,,,,,,
% Transferin saturation ,The % transferrin saturation index is a calculated value that tells how much serum iron is bound to the iron-carrying protein transferrin. A % transferrin saturation value of 15% means that 15% of iron-binding sites of transferrin is being occupied by iron. It is a sensitive screening test for iron deficiency anemia if it is below the optimal range. It is a sign of iron overload or too much iron in the blood if it is above the optimal range.,"The % saturation index is a calculated value that is a better index of iron saturation than transferrin levels by themselves. It is also said to be a more sensitive screening test for iron deficiency than either serum iron or TIBC alone. The classic pattern of iron deficiency shows a decreased serum iron and an increased TIBC. This will increase the unsaturated binding capacity of transferrin and decrease the percent of transferrin bound to iron. A % transferrin saturation of 15% or below is a classic finding in iron deficiency anemia. The % transferrin saturation is calculated using the following formula:
% transferrin saturation = (Serum iron X 100) / TIBC",20.00%,48.00%,20.00%,48.00%,24.00%,35.00%,24.00%,35.00%,,,"Anemia- iron deficiency
If the total iron binding capacity is increased along with a decreased total iron, MCV, MCH, Serum ferritin, % transferrin saturation and/or HGB and/or HCT, iron anemia is probable.","Hemochromatosis/ hemosiderosis/iron overload. Laboratory changes include an increased serum iron, a decreased TIBC, an increased % transferrin saturation, and an increased ferritin level. AST is often elevated because of the damage to the liver.",Anemia of chronic disease; Chronic infection; Uremia; Malignancies; Tissue inflammation; Pregnancy in 3rd trimester; B12 or folate deficiency with concomitant iron deficiency,Anemia of chronic disease; Chronic infection; Uremia; Malignancies; Tissue inflammation; Pregnancy in 3rd trimester; B12 or folate deficiency with concomitant iron deficiency,,,,,
"1,25 Vitamin D (Calcitrol)","
Calcitriol, also known as 1,25(OH)2D, is the active form of vitamin D. This bioactive hormone is produced by enzymatic conversion of

25(OH)D, the circulating reservoir or ""storage"" form of vitamin D. While measurement of 25(OH)D is the most common method of

assessing vitamin D status, evaluation of 1,25(OH)2D may be indicated in certain circumstances including kidney disease,

cardiometabolic disorders, and in those with symptoms of vitamin D deficiency despite normal 25(OH)D, pregnancy. Low calcitriol

may be associated with bone disease, liver or kidney disease, hypertension, cardiovascular disease, metabolic syndrome, pregnancy

complications, and oxidative stress. Elevated calcitriol may be related to excess calcium in the blood or urine, granulomatous

disorders, and signs of toxicity, including mental status changes, gastrointestinal disturbances, and dehydration.","The bioactive form of vitamin D is 1,25(OH)2D, a hormone called calcitriol, that must be produced in the body from 25(OH)D through a two-step process. The liver is responsible for the first hydroxylation that produces 25(OH)D from food or cutaneous sources, a magnesium-dependent enzymatic process. The second hydroxylation that produces active calcitriol also depends on magnesium and occurs primarily in the kidney (Gropper 2021). However, other cells and tissues can hydroxylate 25(OH)D to the active form, including bone, intestine, pancreas, prostate, platelets, and immune cells. In the immune system, calcitriol suppresses cytokine release, inflammation, and autoimmunity and supports innate immunity against pathogens (Sassi 2018). Calcitriol levels are tightly regulated by parathyroid hormone, calcium, and phosphate. It has a half-life of approximately 4 hours compared to the 25(OH)D form, which reflects reserve stores and has a half-life of approximately 2-3 weeks. Calcitriol is not considered the best indicator of vitamin D status and may not reflect a vitamin D deficiency. It can even be elevated with deficiency due to secondary hyperparathyroidism. However, measuring 1,25(OH)2D (calcitriol) may be appropriate in certain circumstances, such as disordered metabolism of 25(OH)D or phosphate, including kidney disease, phosphate-losing disorders, oncogenic osteomalacia, rickets, and granuloma-forming disorders such as sarcoidosis and lymphoma (Holick 2017). Emerging research suggests that measuring calcitriol may have additional benefits, including immune support, due to its direct antimicrobial and inflammation-modulating activities. A cross-sectional study of 300 subjects with community-acquired pneumonia found that 82% had vitamin D deficiency, defined as a 25(OH)D below 20 ng/mL (50 nmol/L). In the study, 25(OH)D and 1,25(OH)2D were lower in those requiring hospitalization and with longer lengths of stay. However, only a lower 1,25(OH)2D was associated with increasing pneumonia severity. Lower mean calcitriol was observed in those with respiratory, hepatic, renal, and cardiac comorbidities, though only renal comorbidities reached statistical significance with a mean 1,25(OH)2D of 34.1 pg/mL (81.84 pmol/L) (Peltz 2014). Research also reveals an association between calcitriol and increased incidence of metabolic syndrome, including significantly increased triglycerides and low HDL-cholesterol, in a cross-sectional analysis of subjects who completed clinical trials for colorectal cancer. The lowest incidence of metabolic syndrome occurred in individuals with a mean calcitriol of 46.6 pg/mL (111.84 pmol/L) compared to a level below 33.2 pg/mL (79.68 pmol/L) (Bea 2015). Calcitriol is believed to inhibit the synthesis of renin in the kidney, which may account for the antihypertensive and organ-protective benefits attributed to vitamin D. In a cohort of 3,296 patients referred for coronary angiography, lower levels of both 25(OH)D and 1,25(OH)2D were associated with higher PTH levels and upregulated renin-angiotensin system (RAS). Activation of RAS is recognized as a possible cause of cardiovascular and kidney disease. In the study, a deficient level of 25(OH)D below 20 ng/mL (50 nmol/L) correlated with a calcitriol level of 30.5 pg/mL (73.2 pmol/L); 25(OH)D of 20-30 ng/mL (50-75 nmol/L) correlated with calcitriol of 37.7 pg/mL (90.48 pmol/L); and 25(OH)D above 30 ng/mL correlated with calcitriol of 41.7 pg/mL (100.08 pmol/L) (Tomaschitz 2010). Vitamin D regulates the genes that facilitate embryo implantation, control inflammation, and protect against infection; insufficiency is associated with several pregnancy complications. In one study of 322 pregnant Arabian women, the mean level of 1,25(OH)2D was below 35 pg/mL (84 pmol/L) in subjects with preeclampsia, gestational diabetes, ectopic pregnancy, and premature membrane rupture compared to a mean of 111 pg/mL (266.40 pmol/L) in pregnant controls. Concentrations of 1,25(OH)2D are expected to increase over the pregnancy, and decreased levels were significantly associated with infection, inflammation, diabetes, and compromised kidney function. Measuring both 25(OH)D and 1,25(OH)2D would be prudent before and during pregnancy (Albahlol 2020). A calcitriol level above 45.83 pg/mL (110 pmol/L) was strongly associated with autoimmune disorders, including multiple sclerosis, osoriasis, and lupus, in a study of 100 Canadians despite low levels of 25(OH) in some cases. Researchers suggest that bacterial metabolites associated with autoimmunity may interfere with the feedback mechanism that degrades excess 1,25(OH)2D, as well as possible vitamin D receptor dysregulation. Levels of 1,25(OH)2D above 45.83 pg/mL may warrant further investigation in those at risk for autoimmune disorders (Blaney 2009).",18.00 pg/Mol,72.00 pg/mol,43.20 pmol/L,172.80 pmol/L,35.00 pg/mol,55.00 pg/mol,84.00 pmol/L,132.00 pmol/L,,,"Bone disease Low 1,25(OH)2D is associated with increased bone turnover, reduced bone mineral density, increased fracture risk, and bone disorders, including osteomalacia, osteoporosis, and rickets. Cardiometabolic disorders Low 1,25(OH)2D may be associated with metabolic syndrome, hypertriglyceridemia, low HDL-C, hypertension, and acute inflammatory disease. Chronic kidney or liver disease The liver and kidney are instrumental in converting 25(OH)D to 1,25(OH)2D and serum levels will be decreased in the event of liver or kidney dysfunction. Vitamin D deficiency Low 1,25(OH)2D is associated with overt vitamin D deficiency which can be characterized by decreased calcium absorption, increased parathyroid hormone, bone disease, myopathy, immune dysregulation, infectious disease, insulin resistance, endothelial dysfunction, and oxidative stress.","Autoimmune disorders Elevated 1,25(OH)2D may be a sensitive marker of autoimmune disease, especially above 45.83 pg/mL (110 pmol/L), levels that correlate with the presence of multiple sclerosis, psoriasis, and lupus, even in the absence of inflammation or low serum 25(OH) vitamin D. Hypercalcemia Elevated active 1,25 vitamin D increases calcium absorption and can lead to elevated calcium in the blood as well as increased calcium excretion and risk of related kidney stones. Chronic disease Elevated 1,25(OH)2D may be observed with chronic diseases such as inflammatory bowel disease, rheumatoid arthritis, osteoarthritis, degenerative disc disease, chronic fatigue syndrome, fibnomyalgia, sarcoidosis, tuberculosis, hereditary vitamin D-resistant rickets. Granulomatous disorders, lymphoma Abnormal, excess production of 1,25(OH)2D can occur with lymphoma and granulomatous disorders. Chronic granulomatous disease is an immune deficiency disorder that impairs the function of phagocytic white blood cells, i.e., neutrophils, macrophages, eosinophils, and monocytes. The disruption to first-line immune defense results in recurrent and potentially life-threatening infections. Vitamin D toxicity Excess vitamin D supplementation or abnormally increased production of 1,25(OH)2D can lead to vitamin D intoxication characterized by elevated calcium in the blood, increased calcium excretion in the urine, and nephrocalcinosis (calcium deposits in the kidney). Symptoms of toxicity include abdominal pain, vomiting, confusion, apathy, increased water intake, urine excretion, and dehydration.",,,,,,,
"1,5-Anhydroglucitol (Glycomark)","1,5-Anhydroglucitol, also known as 1,5-AG or the GlycoMark® test, is used to detect levels of 1,5-AG in the blood. The results reflect the ability of the body to regulate blood glucose levels. Low levels of 1,5-AG reflect fairly frequent occurrences of high blood glucose in the past 1-2 weeks and may be suggestive of an increased risk of pre-diabetes, diabetes, and cardiovascular disease","1,5 anhydroglucitol (1,5-AG), a glucose-like monosaccharide found in many foods, is normally reabsorbed by the kidneys when blood glucose is normal. However, when glucose exceeds 160-180 mg/dL it competes with 1,5-AG for reabsorption, causing 1,5-AG to be excreted in the urine, reducing its level in the blood. Levels of 1,5-AG negatively correlate with fasting blood glucose, 2-hour postprandial glucose, and HbA1C with strong statistical significance. A 1,5-AG below 10 ug/mL reflects fairly frequent occurrences of hyperglycemia exceeding 160-180 mg/dL in the past 1-2 weeks. These blood sugar spikes are likely to occur following a meal. Measuring 1,5-AG may be preferred to measuring HbA1C which does not detect frequent glucose fluctuations and is affected by hemoglobinopathies. A low 1,5-AG is associated with atherosclerosis, cardiovascular disease, and mortality, as well as diabetes. The GlycoMark® test is used to detect blood levels of 1,5-AG. Results reflect glycemic control and can be used to monitor short-term response to diet or medication changes.",7.3,36.6,44.47,222.96,24,36.6,146.2,222.96,μg/mL,μmol/L,"Diabetes, type 2 AG fall below 11.18 ug/mL Measuring 1,5-AG may be a useful screening tool for identifying type 2 diabetes in high risk populations, especially when levels of 1,5- Hyperglycemia Low levels of 1,5-AG (below 8 ug/mL) reflect frequently elevated postprandial blood glucose typically greater than 180 mg/dL. Low levels indicate that 1,5-AG is being excreted in the urine. Cardiovascular disease, atherosclerosis Low 1,5-AG is associated with atherosclerosis and cardiovascular disease. In diabetics, a level below 6 ug/mL was significantly associated with risk of coronary heart disease, heart failure, ischemic stroke, or death despite adjusting for traditional risk factors for diabetes and cardiovascular disease. Cancer risk in men Research suggests that low levels of 1,5-AG were associated with increased risk of cancer in non-diabetic men. Poor glycemic control in type 1 diabetics Very low levels of 1,5-AG (3.8 +/- 2.8 ug/mL) suggest extreme glycemic variability and postprandial hyperglycemia despite a mean glucose level of 166 +/- 28 mg/dL. In patients with poor control, measuring 1,5-AG may not accurately reflect therapeutic response. Other conditions Low: Advanced cirrohois, Kidney Disease, Thalesimia, Sideroblastic Amenia",Elevated Levels have no clinical significance ,,,"Chinese medicine
Elevated 1,5-AG has been associated with the use of Chinese medicines such as polygala tenuifolia and senega syrup.","Carbohydrate restriction
Reduction in the proportion of dietary carbohydrate or glycemic index reduces 1,5-AG levels in the blood.
Prolonged NPO status
1,5-AG levels may be decreased in those unable to take food by mouth for prolonged periods of time.""",,"Diabetic medication
The diabetes drug INVOKANA® prevents reabsorption of 1,5-AG in the kidneys and causes falsely
low 1,5-AG levels.
Steroid therapy
Steroid therapy may reduce blood levels of 1,5-AG.",
Active B12,Active B12 is the form of circulating vitamin B12 that is readily available to tissues. Decreasing levels of Active B12 suggests a developing B12 deficiency.,"Active B12, (also known as holotranscobalamin, holoTC, holo TCIl, or transcobalamin II-bound), is the form of circulating vitamin B12 that is readily available to tissues. It represents only 10-30% of the total B12 in the blood but is the best biomarker for determining early phases of vitamin B12 deficiency. Individuals may be asymptomatic and have normal levels of total vitamin B12 but have decreasing levels of Active B12 which suggests a developing B12 deficiency. Vitamin B12 is essential to DNA synthesis, amino acid metabolism, nerve cell integrity, neurotransmitter synthesis, folate metabolism, and homocysteine processing, Its deficiency or insufficiency can have wide-reachina consequences. ",25.1,165,25.1,165,54,165,54,165,pmol/L,pmol/L,"Anemia- megaloblastic/macrocytic, pernicious Vitamin B12 is essential to red blood cell maturation...its deficiency leads to the formation of large immature red blood cells low in hemoglobin. Malabsorption of B12 due to lack of intrinsic factor results in the autoimmune condition known as pernicious anemia despite adequate intake. A deficiency or insufficiency of B12 will lead to megaloblastic (macrocytic) anemia. B12 deficiency Active B12 will be low in the case of frank vitamin B12 deficiency due to increased requirements, inadequate intake, or impaired absorption. A decreased Active B12 is considered the earliest marker for B12 deficiency followed by an increased methylmalonic acid level. A deficiency of B12 also leads to an increase in folate requirements due to folate trapping. Vitamin B12 deficiency may be prevalent in older adults or individuals following a vegetarian diet and should be assessed for and monitored closely. Cardiovascular risk cardiovascular disease. Levels of Active B12 correlate inversely with homocysteine levels. Elevated homocysteine is an independent risk factor for Drug-induced depletion Some medications can deplete vitamin B12 and reduce serum levels of Active B12 including oral contraceptives, metformin, proton pump inhibitors, H2 blockers, and chemotherapy. Other medications may contribute to acute malabsorption leading to a short-term decrease in Active B12. Genetic variant Genetic variants in the transcobalamin gene (TCN2) may lead to a transcobalamin deficiency or an altered protein that is unable to bind to cells to deliver B12. Such variations may yield falsely low Active B12 levels. Additional assessment of B12 status, including homocysteine and methylmalonic acid levels, should be conducted. One variant studied (rs35838082 (p.R215W) is rare in Caucasians but more common in individuals of South Asian or African origin. Inflammation Vitamin B12 modulates inflammation. An increase in inflammatory markers may be seen when B12 is deficient. Neurological Neurological consequences of vitamin B12 deficiency include brain atrophy, dementia, Alzheimer's disease, and cognitive decline. These negative effects may be partially due to elevated homocysteine levels caused by vitamin B12 insufficiency.","Excess intake or reduced excretion An excessive intake of vitamin B12 (more than 1000 ug/day) or decreased excretion due to renal impairment may lead to increased levels of Active B12. However, in the case of renal patients, an increase in circulating Active B12 is believed to be required to maintain appropriate levels of methylmalonic acid. Elevated B12 levels B12 may be significantly elevated in malignancy, liver dysfunction, kidney dysfunction, or immune dysfunction. The increase in B12 may be due to increased production or release of haptocorrin, or another pathological process. Research demonstrates that percentage of Active B12 decreases as liver disease progresses due to an apparent increase in haptocorrin. Total serum B12 should be assessed in the case of an increased Active B12 above normal range.",,,,,,,
Adiponectin,"Adiponectin is a protein hormone secreted by fat cells. It regulates glucose metabolism, helps burn fat for energy, enhances appetite/food intake, and is inversely correlated with body fat and BMI. Low levels of adiponectin are associated with obesity, abdominal obesity (""apple shape""), diabetes, insulin resistance, metabolic syndrome, atherosclerosis, cardiovascular disease, and smoking. ","Adiponectin enhances appetite and increases in response to fasting. Levels tend to be higher in women than men. Adiponectin improves insulin sensitivity, regulates the innate immune system, helps modulate inflammation, and reduces the risk of cardiovascular disease, metabolic syndrome, and type 2 diabetes. It increases in response to calorie restriction, weight loss, long-term exercise (e.g. 12 weeks or more), and use of nutraceuticals including omega-3 fatty acids, fish oil, DHA, safflower oil, conjugated linoleic acid (CLA), grapeseed extract, green tea extract, taurine, and resveratrol. Adiponectin acts as a key regulator of the innate immune system and plays a major role in the progression of inflammation and metabolic disorders.",5,37,5,37,18,37,18,37,μg/mL,μg/mL,"Coronary artery disease Low adiponectin levels are associated with a two-fold increased risk of CAD. Diabetes Low levels of adiponectin are associated with a nine-fold greater risk of developing type 2 diabetes.Glycemic control in diabetics increases as adiponectin increases. Low adiponectin is associated with obesity, visceral adiposity, insulin resistance, and metabolic syndrome which are all risk factors for type 2 diabetes. Measuring adiponectin levels may be as useful screening tool for type 2 diabetes. Fatty liver, non-alcoholic fatty liver disease (NAFLD) Low adiponectin is associated with accumulation of fat in the liver which can lead to non-alcoholic fatty liver disease. NAFLD is considered the hepatic manifestation of metabolic syndrome. Inflammation Although many adipokines contribute to inflammation, adiponectin appears to be primarily anti-inflammatory and protective. Low levels of adiponectin are associated with elevated levels of other inflammatory markers such as IL-6 and C-reactive protein. Insulin resistance Adiponectin enhances insulin sensitivity and low levels are directly correlated with insulin resistance. Adiponectin may be low in undiagnosed insulin resistance and undiagnosed type 2 diabetes, suggesting its use as a possible screening marker. Lipid abnormalities Low levels of adiponectin are associated with lower HDL levels and increased triglycerides. Metabolic syndrome Low levels of adiponectin increase risk of developing metabolic syndrome by three-fold. Obesity, visceral obesity Adiponectin is lower in obese individuals and is especially low in those with abdominal/visceral obesity. It is being investigated as a link between obesity and increased risk of chronic diseases such as heart disease, cancer, and diabetes. Smokers Active smokers tend to have lower adiponectin levels.","Cardiac cachexia, heart failure Adiponectin levels are elevated in heart failure, especially in cardiac cachexia (significant loss of body weight, muscle, and bone associated with heart failure). Catabolic state, weight loss Elevated adiponectin levels above optimal may be related to a catabolic state and can be considered a marker for body wasting. Adiponectin levels are inversely correlated with BMI. Medication-induced elevation Some medications can increase circulating adiponectin levels, including fenofibrate, statins, thiazolidinedione, and metformin.",,,,,,,
ADMA,"Asymmetric dimethylarginine (ADMA) is a metabolite of the amino acid arginine. It is capable of inhibiting the conversion of arginine to nitric oxide, an important ""anti-atherogenic"" molecule. Nitric oxide is crucial to endothelial function and its deficiency contributes to atherosclerosis and cardiovascular disease.
","ADMA inhibits nitric oxide synthase, the enzyme that converts arginine to NO. This inhibition leads to a deficiency of NO which, in turn, leads to endothelial dysfunction. The endothelium serves as a barrier between the bloodstream and the artery wall. Its major functions include the regulation of blood pressure and blood clotting, as well as the regulation of immunity.
Elevated ADMA levels are associated with increased risk of endothelial dysfunction, atherosclerosis, cardiovascular disease, hypertension, chronic heart failure, chronic renal failure, insulin resistance, diabetes, and pre-diabetes. Early detection of elevated
ADMA may help identify these conditions prior to full clinical presentation.
Detection of elevated ADMA and/or SDMA should be followed up with a screening for diabetes/pre-diabetes.
Lifestyle changes that can help reduce ADMA and SDMA levels and support endothelial function include maintaining a healthy weight; engaging in regular exercise; consuming more fruits and vegetables; limiting or avoiding processed foods high in sugar and/or salt; and controlling cholesterol and blood pressure.
ADMA levels decreased in obese insulin-resistant women following weight loss and improvement in insulin sensitivity.
Coadministration of methylcobalamin and folate resulted in decreases in ADMA levels, homocysteine levels, and arterial stiffness in hemodialysis patients.
Consider L-Arginine or L-Citrulline supplementation to improve vasodilation and vascular tone.
NOTE: L-Arginine and L-Citrulline enhance the production of nitric oxide which has anti-inflammatory, antithrombotic, antihypertensive, and antioxidant effects.",0,123,0,0.62,0,100,0,0.5,ng/mL,μmol/L,"Reduced risk of cardiovascular and cardiometabolic disease
Low/optimal levels of ADMA are associated with reduced risk of atherosclerosis, CVD, and cardiometabolic disease. However, a wide range of laboratory and clinical parameters must be assessed to provide a comprehensive clinical picture.","Increased risk of cardiovascular disease and events
Elevated ADMA levels have been associated with endothelial dysfunction and cardiovascular risk factors including hypertension, hyperlipidemia, coronary artery calcification, subclinical atherosclerosis, and increased risk of plaque formation. Increased ADMA is considered a strong risk factor for future cardiovascular events and mortality. Elevated ADMA in coronary artery disease patients doubles the risk of adverse events such as myocardial infarction and stroke.
Insulin resistance, diabetes, and pre-diabetes
Elevated levels of ADMA (and SDMA) may be one of the earliest signs of insulin resistance, a condition at the root of both type 2 diabetes and about 70%of heart attacks. Insulin resistance may also be a factor in Alzheimer's. Elevations may be indicative of increased risk of or presence of diabetes or pre-diabetes.
Suboptimal Lifestyle
Levels of ADMA and SDMA may increase in individuals who consume an unhealthy diet, smoke, or have elevated blood pressure or cholesterol.",,,,,,,
Albumin,"Albumin is one of the major blood proteins. Produced primarily in the liver, Albumin plays a major role in water distribution and serves as a transport protein for hormones and various drugs. Albumin levels are affected by digestive dysfunction and a decreased albumin can be an indication of malnutrition, digestive dysfunction due to HCI need (hypochlorhydria), or liver dysfunction.
Malnutrition leads to a decreased albumin level in the serum primarily from lack of available essential amino acids. Decreased albumin can also be a strong indicator of oxidative stress and excess free radical activity. Increased albumin is a strong indicator of dehydration.
","Serum albumin levels and its production are greatly affected by the health and function of the liver, because albumin is produced almost entirely by the liver. Liver dysfunction will cause a decreased albumin level.
Albumin is responsible for about 80% of the colloid-osmotic pressure between blood and tissue fluids. When albumin is decreased, osmotic pressure is disturbed and fluid can leak into intracellular spaces, leading to edema.
The main cause of an increased albumin level is dehydration.",3.6,5.1,36,51,4.5,5,45,5,g/dL,g/L,"Hypochlorhydria
A decreased albumin level is often associated with a decreased production of hydrochloric acid in the stomach (hypochlorhydria).
Hypochlorhydria is associated with an increased globulin level and a normal or decreased total protein and/or albumin, an increased BUN, a decreased or normal total protein and/or albumin and/or decreased serum phosphorous. Other values that may be reflective of a developing or chronic hypochlorhydria include increased or decreased gastrin, an increased MCV and MCH, a decreased or normal calcium and iron, a decreased chloride, and a decreased alkaline phosphatase.
Liver dysfunction
Albumin is produced almost entirely by the liver and dysfunction in the liver will have a great impact on albumin production and serum albumin levels. Therefore, a decreased albumin level may be indicative of a liver dysfunction that prevents the synthesis and formation of protein. A decreased albumin may be observed before any changes in liver enzymes are noted. Functionally oriented liver problems, such as detoxification issues, liver congestion, and conjugation problems are extremely common and should be evaluated based upon early prognostic indicators. The liver should always be viewed in the context of the hepato-biliary tree. Some of the key clinical indicators include:
• Pain between shoulder blades
• Stomach upset by greasy foods
O If drinking alcohol, easily intoxicated
• Headache over the eye
• Sensitive to chemicals (perfume, cleaning solvents, insecticides, exhaust, etc.)
• Hemorrhoids or varicose veins
Oxidative Stress
Oxidative stress should be investigated if albumin levels are decreased along with a decreased lymphocyte count, a total cholesterol that is suddenly below its historical level, an increased total globulin an increased uric acid and low platelet levels (<150). Oxidative stress can cause an increased destruction of red blood cells; in these situations you may see an elevated bilirubin level.
Inflammation
Albumin decreases with inflammation, especially systemic inflammation due to decreased synthesis and increased degradation.
Vitamin C need
Albumin will frequently be decreased along a decreased HCT, HGB, MCH, MCHC, and serum iron. There will also be an increased MCV, alkaline phosphatase, and fibrinogen.
Pregnancy
A decreased albumin reading is considered normal in pregnancy.
Kidney Disease
Albumin can be lost in the urine with kidney disease, and can also appear further decreased with fluid overload.","Dehydration

If albumin is increased suspect dehydration. Dehydration is a very common problem and should be factored into your blood chemistry

and CBC analysis. Suspect a short-term (acute) dehydration if there is an increased HGB and/or HCT along with an increased RBC

count. A relative increase in sodium and potassium can be noted as well. Suspect a long-term (chronic) dehydration if any of the

above findings are accompanied by an increased albumin, increased BUN and/or serum protein.","- Immune insufficiency
• Protein malnutrition
• Thyroid hyperfunction
• B12/Folate deficiency anemia
• Hemorrhage
• Liver cirrhosis
• Alcoholism
• Hypocalcemia","Thyroid Hypfunction, Adrenal Hypofunction",Dehydration,• Excessive hemolysis in patient sample taken supine,,,
Albumin : Globulin,The albumin: globulin ratio is the ratio between the albumin and total globulin levels. A decreased ratio is associated with liver dysfunction and immune activation from infectious or inflammatory processes. An increased Albumin/Globulin ratio is uncommon and is usually due to dehydration.,"The albumin: globulin ratio should be used as a rough guide, due to the variability in albumin and globulin levels, and should always be viewed in context with globulin and albumin.
The globulin portion of the ratio is the most clinically relevant and can have the most impact.An increased ratio, which is fairly uncommon, is usually due to either a decreased globulin or an increased albumin level, a situation that is usually due to dehydration.
A decreased ratio is usually due to either an albumin decrease with a globulin increase or a normal albumin with a greatly increased globulin. The former is more common.
A decreased ratio is often called a suppressed, low or reversed ratio and is generally considered a reflection of liver dysfunction, as both a decreased albumin and an increased globulin can be caused by liver dysfunction.",1,2.5,1,2.5,1.4,2.1,1.4,2.1,ratio,ratio,"The albumin: globulin ratio should be used as a rough guide, due to the variability in albumin and globulin levels, and should always be viewed in context with globulin and albumin.
The globulin portion of the ratio is the most clinically relevant and can have the most impact.An increased ratio, which is fairly uncommon, is usually due to either a decreased globulin or an increased albumin level, a situation that is usually due to dehydration.
A decreased ratio is usually due to either an albumin decrease with a globulin increase or a normal albumin with a greatly increased globulin. The former is more common.
A decreased ratio is often called a suppressed, low or reversed ratio and is generally considered a reflection of liver dysfunction, as both a decreased albumin and an increased globulin can be caused by liver dysfunction.",An increased Albumin: Globulin ratio is fairly uncommon and is usually due to dehydration.,"O Blood too thin (rule out chronic aspirin use, unnecessary blood
thinners)
","• Thyroid hypofunction (Increased Albumin)
• Adrenal hypofunction (Increased Albumin)
• Blood viscosity may be too high due to blood stasis","• Normal during pregnancy
• Excessive hemolysis in patient sample taken supine",Dehyrdation,,,
